,arabic,roman
3291,معيشة,mayesha
3292,ميمون,maymun
3293,ميس,mays
3294,مايسة,maysa
3295,ميساء,maysaa
3296,ميسم,maysam
3297,ميسان,maysan
3298,ميسون,maysoon
3299,ميسرمس,maysormais
3300,ميسون,maysun
3301,ميسورة,maysura
3302,ميادة,mayyada
3303,مياده,mayyadah
3304,مياسه,mayyasah
3305,مزنة,mazana
3306,مزيدا,mazida
3307,مزية,maziya
3308,مزنة,mazna
3309,مازن,mazneen
3310,معززه,mazuzah
3311,مزيونه,mazyunah
3312,مهن,meehan
3313,ميم,meem
3314,مينو,meeno
3315,ميزة,meeza
3316,محبين,meh banu
3317,مها,meha
3318,محق,mehak
3319,مهر,mehar
3320,محبوبة,mehbooba
3321,محق,mehek
3322,مهر,meher
3323,مهر,meheroon
3324,محيرنيسا,meherunissa
3325,محيرة,mehira
3326,محجب,mehjabeen
3327,مهلكة,mehlika
3328,مهناز,mehnaz
3329,مهند,mehndi
3330,مهنية,mehniya
3331,محنور,mehnoor
3332,مهر,mehr
3333,مهربين,mehr banu
3334,محرجها,mehr jahan
3335,محرنجر,mehr negaar
3336,محرنصا,mehr nesa
3337,مهرة,mehra
3338,محرابه,mehrabah
3339,مهربا,mehraban
3340,محرفرز,mehrafruz
3341,محرك,mehrak
3342,مهران,mehrana
3343,مهراندخة,mehrandokht
3344,مهرانغز,mehranghiz
3345,مهرانجز,mehrangiz
3346,مهرانش,mehranoush
3347,محررة,mehrara
3348,مهراس,mehrasa
3349,محرفه,mehravah
3350,مهري,mehrayeen
3351,محرزر,mehrazar
3352,محرزن,mehrazin
3353,مهردخة,mehrdokht
3354,مهرجان,mehrgan
3355,مهرجل,mehrgol
3356,مهري,mehri
3357,مهربا,mehriban
3358,مهرين,mehrin
3359,مهرش,mehrish
3360,مهرجان,mehrjan
3361,محرنز,mehrnaz
3362,محرنية,mehrnia
3363,محرنش,mehrnoush
3364,محرزا,mehrsa
3365,محرنسا,mehrunissa
3366,مهري,mehry
3367,محفش,mehvesh
3368,محفش,mehvish
3369,مهوش,mehwish
3370,ملك,melek
3371,مليسة,melissa
3372,ملتم,meltem
3373,مرسيه,mersiha
3374,مشية,meshia
3375,مفيش,mevish
3376,مدحه,midha
3377,مدحت,midhat
3378,ميشا,miesha
3379,ميتا,mietaa
3380,مطالعه,mietaaullah
3381,مفرح,mifrah
3382,مفتاحه,miftahah
3383,معهد,mihad
3384,مهر,mihr
3385,مهري,mihri
3386,ملحان,milhaan
3387,مينا,mina
3388,منال,minaal
3389,منال,minal
3390,منبره,minbarah
3391,منها,minha
3392,منهال,minhal
3393,منه,minnah
3394,معينة,minnat
3395,منتلله,minnatullah
3396,منو,minoo
3397,ميندوخة,minudokht
3398,ميرال,miraal
3399,ميره,mirah
3400,مرسله,mirsalah
3401,مروا,mirwaa
3402,مثال,misaal
3403,ميثاق,misaq
3404,معصبة,misba
3405,مصباحه,misbahah
3406,ميشا,misha
3407,ميشال,mishaali
3408,ميشال,mishael
3409,ميشال,mishal
3410,ميشال,mishall
3411,ميشيل,mishel
3412,مشكاة,mishkat
3413,مسكه,miskah
3414,مسكينه,miskeenah
3415,مسكية,miskiyyah
3416,مصريه,misriyyah
3417,مترا,mitra
3418,مزن,mizn
3419,ميزنا,mizna
3420,مزيان,mizyan
3421,مطار,moattar
3422,مبسم,mobsim
3423,موزة,moeza
3424,محادثة,mohaddisa
3425,مهجة,mohga
3426,محيصة,mohisa
3427,محسنة,mohsana
3428,محسنة,mohsina
3429,ممن,momina
3430,منى,mona
3431,منيرة,monera
3432,منام,moonam
3433,مرفرد,morvarid
3434,مفيدة,moufida
3435,محسنة,mouhsina
3436,موجبه,moujabah
3437,مءمنة,mouminat
3438,مءمنين,mouminin
3439,مونيا,mounia
3440,منيرة,mounira
3441,معتزه,moutazah
3442,معطيه,moutiyah
3443,موزهدا,mozhda
3444,موزهدة,mozhdah
3445,مذحجا,mozhgan
3446,مءامرة,muammeerah
3447,مونتيرة,muantirah
3448,مريفه,muarrifah
3449,موضه,muawadah
3450,موضه,muawidah
3451,موزه,muawwazah
3452,موزه,muawwizah
3453,مياده,muayadah
3454,ميداء,muayyadaa
3455,مياده,muayyadah
3456,مياه,muayyah
3457,معايده,muayyidah
3458,موزه,muazah
3459,ماذا,muazza
3460,معظم,muazzama
3461,معزز,muazzaz
3462,معاذيره,muazzirah
3463,مباركا,mubaraka
3464,مباششرا,mubashshira
3465,مبديا,mubdia
3466,مبين,mubin
3467,مبينا,mubina
3468,مدثر,mudassira
3469,مدثر,mudathira
3470,معينة,mueena
3471,معينه,mueenah
3472,ميره,mueerah
3473,موضه,mueidah
3474,موفازلة,mufazzalah
3475,موفازلة,mufazzilah
3476,معفية,mufiah
3477,مفيدة,mufida
3478,موفيزة,mufizah
3479,مفلح,mufliha
3480,مغزاه,mugheesah
3481,مغيره,mughirah
3482,مغذيه,mughithah
3483,مهيره,muhairah
3484,مهاجرة,muhajira
3485,مهندمة,muhandamah
3486,مهناء,muhannaa
3487,مهندة,muhannadah
3488,مهنة,muhannah
3489,محاربة,muhariba
3490,محاسنه,muhassanah
3491,محاسنه,muhassinah
3492,محييا,muhayya
3493,موحدة,muhdah
3494,موهبه,muhibbah
3495,موهبة,muhibbat
3496,مهزة,muhizzat
3497,مهجة,muhja
3498,مهجة,muhjaa
3499,مهجه,muhjah
3500,مهجدة,muhjidaa
3501,محله,muhlah
3502,مهرة,muhra
3503,محسنة,muhsina
3504,محسنه,muhsinah
3505,محترمه,muhtaramah
3506,محترمه,muhtarimah
3507,موضة,muida
3508,موضه,muiddah
3509,ميزة,muizza
3510,مجاهدة,mujahida
3511,مجيدة,mujeedah
3512,مجيبا,mujiba
3513,مجيدة,mujiddah
3514,مجلة,mujillah
3515,مجراه,mujirah
3516,مجتهده,mujtahidah
3517,موقفة,mukafat
3518,موقع,mukai
3519,مكرمة,mukarrama
3520,مكرمه,mukarramah
3521,مكونه,mukawwinah
3522,مخلصه,mukhallisah
3523,مخلصه,mukhlasah
3524,مخلصة,mukhlisa
3525,مخلصه,mukhlisah
3526,مختاره,mukhtarah
3527,مولان,mulan
3528,مليكة,mulayka
3529,ملحه,mulhah
3530,ملحة,mulhat
3531,ملوك,mulook
3532,ملوكه,mulukah
3533,مميز,mumayyaz
3534,ممتاز,mumtaz
3535,ممتازة,mumtaza
3536,ممتازه,mumtazah
3537,مونى,muna
3538,منام,munaam
3539,مناديه,munadiyah
3540,منديات,munadiyat
3541,منجدة,munajidah
3542,مناميرة,munamirah
3543,منقا,munaqqaa
3544,منار,munar
3545,منور,munawar
3546,منور,munawwar
3547,منورة,munawwara
3548,منذ,munazza
3549,منزه,munazzah
3550,موندية,mundiyah
3551,منيبة,muneeba
3552,منيبة,muneebah
3553,منيرة,muneera
3554,منيره,muneerah
3555,منيره,munerah
3556,منذ,muneza
3557,مونيا,munia
3558,منيبة,muniba
3559,منيفة,munifa
3560,منيفه,munifah
3561,منيرة,munira
3562,منيره,munirah
3563,منيسى,munisa
3564,منصة,munisah
3565,منذ,munize
3566,منجدة,munjidah
3567,منجية,munjiyah
3568,منشده,munshidah
3569,منتهى,muntaha
3570,منتهي,muntahi
3571,منتصرية,muntasiriyyah
3572,مقدس,muqadaas
3573,مقدس,muqadas
3574,مقدسة,muqaddasa
3575,مقدسة,muqaddasah
3576,مقبلة,muqbala
3577,مقبله,muqbalah
3578,لاريب,muqla
3579,مرضت,muradat
3580,مريحه,muraihah
3581,مريزية,muraziyah
3582,مرضيه,murdiyyah
3583,مريضه,muridah
3584,مريحة,muriha
3585,مريحه,murihah
3586,مرسله,mursalah
3587,مرشدة,murshida
3588,مرشدا,murshidaa
3589,مرشده,murshidah
3590,مرسله,mursilah
3591,مروج,muruj
3592,مرفرد,murvareed
3593,مرزاقة,murzaqah
3594,مرزقة,murziqah
3595,مسبحة,musabbihah
3596,موصدة,musadah
3597,مصادقة,musaddiqa
3598,مصدقه,musaddiqah
3599,مسافه,musafah
3600,مصممة,musamma
3601,مسارات,musarat
3602,مسارات,musarrat
3603,موسوعة,musawat
3604,مسويه,musawiyah
3605,مصوره,musawwarah
3606,موسيقاه,musaykah
3607,مصدية,musdiyah
3608,مصفاه,musefah
3609,مصفرة,musfira
3610,مسفره,musfirah
3611,مشاء,mushaa
3612,مشادة,mushadaa
3613,مشاهدة,mushahida
3614,مشرفة,musharrafa
3615,مشرفه,musharrafah
3616,مشيرا,musheera
3617,موشيه,mushiah
3618,مشيلح,mushilah
3619,مشيرا,mushira
3620,مشيرة,mushirah
3621,مشرفه,mushrifah
3622,مشتاق,mushtaq
3623,مشتري,mushtaree
3624,مشتري,mushtari
3625,مصيدة,musidah
3626,موسيقاه,musiqah
3627,مصيره,musirrah
3628,موسقى,muska
3629,مسكان,muskaan
3630,مسكه,muskah
3631,مسكن,muskan
3632,مصلحة,muslihah
3633,مسلمة,muslima
3634,مسلما,muslimaa
3635,مسلمه,muslimah
3636,مسلمات,muslimati
3637,مسن,musn
3638,مصنعه,musnah
3639,مسح,mussah
3640,مصرية,mussaret
3641,مستعينة,mustaeenah
3642,مستنيه,mustaneeah
3643,مطهرة,mutahhara
3644,مطهره,mutahharah
3645,مطيره,mutairah
3646,معتزه,mutazah
3647,مثيله,muthailah
3648,مثلا,muthalaa
3649,مثلا,muthlaa
3650,مطية,mutia
3651,مطمنه,mutmaanah
3652,مطمءنه,mutmainnah
3653,موافقة,muwaffaqa
3654,ميسره,muyassarah
3655,ميسره,muyassirah
3656,مزينة,muzaina
3657,مزينه,muzainah
3658,مزمل,muzammil
3659,مزينه,muzaynah
3660,مزينه,muzayyanah
3661,مزدلفة,muzdalifa
3662,موزه,muzeeah
3663,مظهره,muzhirah
3664,مزن,muzn
3665,مزنة,muzna
3666,ميشا,myiesha
3667,ميرين,myreen
3668,ميشا,mysha
3669,ناظره,naadhirah
3670,نادره,naadirah
3671,نافيه,naafiah
3672,نايلة,naailah
3673,نايمة,naaima
3674,ناره,naairah
3675,ناجي,naaji
3676,نجده,naajidah
3677,ناجية,naajiya
3678,ناشره,naashirah
3679,ناشطة,naashitah
3680,ناصحه,naasihah
3681,ناصر,naasira
3682,نايلة,naayela
3683,ناز,naaz
3684,نازحيمة,naazhimah
3685,نظهرة,naazhirah
3686,ناظرة,naazira
3687,نظن,naazneen
3688,نبى,naba
3689,نباهة,nabaahat
3690,نباهة,nabaha
3691,نبحت,nabahat
3692,نبوية,nabawiya
3693,نبيها,nabeeha
3694,نبيلة,nabeela
3695,نبيله,nabeelah
3696,نبهانة,nabhanah
3697,نبغاه,nabighah
3698,نبيهة,nabiha
3699,نبيهه,nabihah
3700,نبيجة,nabijah
3701,نبيلة,nabila
3702,نبيله,nabilah
3703,نسيرة,nacira
3704,نادى,nada
3705,نداء,nadaa
3706,نداء,naddaa
3707,نضيد,nadeeda
3708,نديمه,nadeemah
3709,نادين,nadeen
3710,نادره,nadeerah
3711,ندش,nadesh
3712,نادي,nadi
3713,نداء,nadiaa
3714,نضيد,nadida
3715,نضيدة,nadidah
3716,نادمة,nadima
3717,نادمه,nadimah
3718,نادين,nadine
3719,نادرة,nadira
3720,نادرا,nadiraa
3721,نادره,nadirah
3722,ناديه,nadiyah
3723,نادية,nadiyya
3724,ناضجيبا,nadjiba
3725,نضرة,nadra
3726,نادره,nadrah
3727,نظرية,nadriyyah
3728,ندوة,nadwa
3729,ندوة,nadwah
3730,نادية,nadya
3731,نادين,nadyne
3732,نايمة,naeema
3733,نيمات,naeemaat
3734,نايمه,naeemah
3735,نفحات,nafahat
3736,نفسة,nafasat
3737,نفي,nafay
3738,نافذة,nafeeza
3739,نافيا,nafia
3740,نفيه,nafiah
3741,نفيسة,nafisa
3742,نفيسة,nafissa
3743,نافذه,nafizah
3744,نافلة,nafla
3745,نافلة,naflah
3746,ناجين,nageen
3747,نجينا,nageena
3748,ناجينة,nageenah
3749,نجنة,nagenah
3750,ناجحين,nagheen
3751,نغمة,naghma
3752,نغمه,naghmah
3753,نغمة,naghmat
3754,نجينا,nagina
3755,نجلا,nagla
3756,نجمة,nagma
3757,نجوى,nagwa
3758,ناهد,nahad
3759,نهال,nahal
3760,نهلة,nahala
3761,نهار,nahar
3762,نحيد,naheed
3763,نهضة,naheeda
3764,ناهد,nahid
3765,نهضة,nahida
3766,نهضة,nahidah
3767,ناحية,nahiya
3768,نحظى,nahiza
3769,ناهزة,nahizah
3770,نهجه,nahjah
3771,نهلة,nahla
3772,نهله,nahlah
3773,نحلجة,nahleejah
3774,نهران,nahran
3775,نحوه,nahwah
3776,نايدا,naida
3777,نايفه,naifah
3778,نيل,nail
3779,نيله,nailah
3780,نيلوفر,nailawfir
3781,نيلوفر,nailufar
3782,نعيمة,naima
3783,نايمه,naimah
3784,نيمات,naimat
3785,نعين,nain
3786,نينا,naina
3787,ناءرة,naira
3788,نيره,nairah
3789,نيرة,naiyyira
3790,نجاح,najaah
3791,نجف,najaf
3792,نجاح,najah
3793,نجاة,najat
3794,نجده,najdah
3795,نجديه,najdiyyah
3796,نجيبة,najeeba
3797,نجده,najeedah
3798,نجمه,najeemah
3799,نجت,najet
3800,ناجحه,najhah
3801,نجحت,najhat
3802,ناجية,najia
3803,نجيبة,najiba
3804,نجيبه,najibah
3805,نجد,najida
3806,نجدا,najidaa
3807,نجده,najidah
3808,ناجحة,najiha
3809,ناجحه,najihah
3810,نجية,najiya
3811,نجيح,najiyah
3812,نجيح,najiyyah
3813,نجلا,najla
3814,نجلاء,najlaa
3815,نجله,najlah
3816,نجلا,najlan
3817,نجلة,najlat
3818,نجم,najm
3819,نجما,najma
3820,نجما,najmaa
3821,نجمه,najmah
3822,نجمية,najmiyyah
3823,نجد,najud
3824,نجومه,najumah
3825,نجوى,najwa
3826,نجوان,najwan
3827,ناجية,najya
3828,نكهات,nakhat
3829,نخيل,nakheel
3830,نخله,nakhlah
3831,نقية,nakia
3832,ناما,nama
3833,نماء,namaa
3834,نمر,namar
3835,نميرى,nameera
3836,نامية,namia
3837,نمره,namirah
3838,نامية,namiyah
3839,نمرة,namra
3840,نميل,namyla
3841,ننجيل,nangialai
3842,نوم,naoum
3843,ناقة,naqa
3844,نقاوة,naqaawa
3845,نقيبا,naqeeba
3846,نقيبة,naqeebah
3847,نقيبا,naqiba
3848,نقله,naqilah
3849,نقية,naqiya
3850,ناقش,naqsheen
3851,ناريمان,naraiman
3852,نرتن,naratain
3853,ناردني,nardana
3854,ناردين,nardeen
3855,نارين,nareen
3856,نارنجا,narenja
3857,نرجس,nargis
3858,نرجول,nargol
3859,نارين,narina
3860,نارنا,narinaa
3861,نرش,narisha
3862,نرجس,narjis
3863,نرمين,narmeen
3864,نرمين,narmin
3865,نرمين,narmina
3866,نار,naroon
3867,نرفا,narvan
3868,نصر,nasar
3869,نصير,nasayir
3870,نسيبة,naseeba
3871,ناصيف,naseefa
3872,نصيحة,naseeha
3873,ناسيك,naseeka
3874,نسيمة,naseema
3875,نسيمه,naseemah
3876,نصيرا,naseera
3877,نصيرا,naseeraa
3878,نصيره,naseerah
3879,ناسها,nasha
3880,نشات,nashat
3881,نشيد,nasheed
3882,نشيله,nasheelah
3883,نشم,nasheem
3884,نشم,nashema
3885,ناشءة,nashia
3886,نشيدة,nashida
3887,نشيده,nashidah
3888,نشقى,nashika
3889,نشره,nashirah
3890,نشيطة,nashita
3891,نشيطة,nashitah
3892,نشميل,nashmeel
3893,نشمية,nashmia
3894,نشوة,nashwa
3895,نشوا,nashwaa
3896,نشوان,nashwan
3897,نصية,nasia
3898,نصيبا,nasiba
3899,ناسفة,nasifa
3900,نصيفه,nasifah
3901,نصيحة,nasiha
3902,نصيحه,nasihah
3903,نسكه,nasikah
3904,نسخه,nasikhah
3905,نصلى,nasila
3906,نسيم,nasim
3907,نسيمة,nasima
3908,نسما,nasimaa
3909,نسيمه,nasimah
3910,نسقا,nasiqa
3911,نصيرا,nasira
3912,نصيره,nasirah
3913,نسمة,nasma
3914,نسمح,nasmah
3915,نسمي,nasmi
3916,نصوح,nasooh
3917,ناصرا,nasra
3918,نصرا,nasraa
3919,نصرت,nasrat
3920,نسرين,nasreen
3921,نصري,nasri
3922,نسرين,nasrin
3923,ناصرلله,nasrullah
3924,نصية,nasya
3925,ناطرة,natara
3926,ناتاشا,natasha
3927,نظيفة,nathifa
3928,نطيل,natila
3929,ناطقة,natiqa
3930,نورتن,nauratan
3931,نورين,naureen
3932,نورس,naurus
3933,ناشبة,naushaba
3934,نشبه,naushabah
3935,ناصحين,nausheen
3936,ناصحين,naushin
3937,نفى,nava
3938,نافذة,naveda
3939,نفين,naveen
3940,نافذة,navida
3941,نفيل,navil
3942,نوال,nawal
3943,نوار,nawar
3944,نواة,nawat
3945,نويلة,nawaylah
3946,نود,naweed
3947,ناول,nawel
3948,نوفا,nawfa
3949,نوفا,nawfaa
3950,نوفه,nawfah
3951,نوفلة,nawfalah
3952,ناول,nawla
3953,ناول,nawlaa
3954,ناوله,nawlah
3955,نور,nawr
3956,نورة,nawra
3957,نوراء,nawraa
3958,نوره,nawrah
3959,نوروز,nawroz
3960,نوال,nawwal
3961,نور,nawwar
3962,نوره,nawwarah
3963,نعوذ,nawzaa
3964,نيامي,nayamee
3965,نايلة,nayila
3966,نير,nayir
3967,نايلة,nayla
3968,نيلا,naylaa
3969,نايب,nayyab
3970,نيرة,nayyara
3971,نيره,nayyirah
3972,نزاهة,nazaaha
3973,نزار,nazaara
3974,نظفرن,nazafarin
3975,نزهة,nazaha
3976,نزهة,nazahah
3977,نزكيه,nazakat
3978,نظن,nazan
3979,نازعنين,nazanin
3980,نازعنينا,nazanina
3981,نظرة,nazara
3982,نظارات,nazarat
3983,نظرها,nazarha
3984,نزدانا,nazdana
3985,نازي,nazee
3986,نزيف,nazeef
3987,نظيفه,nazeefah
3988,نزيهة,nazeeha
3989,نازك,nazeek
3990,نزيلا,nazeela
3991,نظمه,nazeemah
3992,نذيرا,nazeera
3993,نظيره,nazeerah
3994,نزعت,nazeeta
3995,نزية,nazeeya
3996,نزغل,nazgul
3997,نظهرة,nazheerah
3998,نزهم,nazhmii
3999,نزية,nazia
4000,نزيه,naziah
4001,نظيفة,nazifa
4002,نزيهة,naziha
4003,نزيهه,nazihah
4004,نزيلا,nazila
4005,نظما,nazima
4006,نظمه,nazimah
4007,نزيندة,nazindah
4008,نذيرا,nazira
4009,نظيره,nazirah
4010,نزيش,nazish
4011,نزلر,nazlar
4012,نزلي,nazli
4013,نظما,nazma
4014,نظمن,nazmin
4015,نظمية,nazmiyyah
4016,نظن,nazneen
4017,نظنن,naznin
4018,نزه,nazo
4019,نذبر,nazpari
4020,نظرة,nazra
4021,نظرنا,nazraana
4022,نظرة,nazrat
4023,نازك,nazuk
4024,نازي,nazy
4025,نضجما,nedjma
4026,نيك,neeka
4027,نقدخة,neekdokht
4028,نيكي,neeki
4029,نيكنز,neeknaz
4030,نقطة,neekta
4031,نيك,neeku
4032,نعلم,neelam
4033,نلجن,neelgoun
4034,نعلم,neelma
4035,نيلوفر,neelofar
4036,نيلوفر,neelofer
4037,نيل,neelu
4038,نيم,neem
4039,نشد,neeshad
4040,نيية,neeya
4041,نجاح,negaah
4042,نجارة,negaara
4043,نجارين,negaarin
4044,نجار,negar
4045,نجحن,neghin
4046,نهى,neha
4047,نهال,nehal
4048,نهلة,nehla
4049,نهرين,nehrin
4050,نيما,neima
4051,نيمات,neimaat
4052,نيمات,neimat
4053,نجاة,nejat
4054,نعلم,nelam
4055,نيلي,nelee
4056,نيلوفر,nelofar
4057,نمونا,nemoona
4058,نسايم,nesayem
4059,نسرين,nesrin
4060,نفاه,nevaeh
4061,نيم,niam
4062,نمله,niamullah
4063,نظمنا,niazmina
4064,نيبال,nibaal
4065,نيبال,nibal
4066,ندى,nida
4067,نداء,nidaa
4068,ندى,nidda
4069,نددت,niddat
4070,نيجار,nigaar
4071,نيجر,nigar
4072,نجحت,nighat
4073,نيها,niha
4074,نهاد,nihad
4075,نهال,nihal
4076,نيهال,nihala
4077,نحل,nihel
4078,نهلة,nihla
4079,نهله,nihlah
4080,نيجى,nija
4081,نجاح,nijah
4082,نجاره,nijarah
4083,نجارة,nijarat
4084,نجاة,nijat
4085,نكهات,nikhat
4086,نيلة,nila
4087,نيلا,nilaa
4088,نيله,nilah
4089,نيلية,nilia
4090,نيلية,niliyyah
4091,نيلوفر,nilofar
4092,نيلوفر,nilofer
4093,نيلوفر,niloufar
4094,نيلوفر,nilufar
4095,نعمة,nima
4096,نيمات,nimaat
4097,نعمه,nimah
4098,نيماتلله,nimatullah
4099,نمره,nimerah
4100,نمرة,nimra
4101,نمره,nimrah
4102,نينا,nina
4103,نيسا,nisa
4104,نسبه,nisbah
4105,نسبة,nisbat
4106,نسبي,nisbi
4107,نشا,nisha
4108,نشاط,nishat
4109,نسمة,nisma
4110,نسمه,nismah
4111,نسمات,nismat
4112,نسرين,nisreen
4113,نسرين,nisrin
4114,نيسا,nissa
4115,نسوه,niswah
4116,نيفين,nivin
4117,نيف,niyaf
4118,نييش,niyayesh
4119,نياز,niyaz
4120,نعيش,niyusha
4121,نيية,niyyat
4122,نزله,nizalah
4123,نبحر,nobahar
4124,نوبار,nobar
4125,نجل,nogul
4126,نجود,nojood
4127,نون,noon
4128,نوني,nooni
4129,نورالحيا,noor al haya
4130,نرجعها,noor jehan
4131,نرددنيا,noor ud dunya
4132,نورننهر,noor un nahar
4133,نورسسبة,noor us sabah
4134,نورا,noora
4135,نعرفش,noorafsha
4136,نوره,noorah
4137,نورالحيا,nooralhaya
4138,نورانية,nooraniyah
4139,نوري,noori
4140,نوري,noorie
4141,نورين,noorien
4142,نورية,nooriya
4143,نرجعها,noorjahan
4144,نرجعها,noorjehan
4145,نورلين,noorulain
4146,نقرا,noqra
4147,نورا,nora
4148,نوره,norah
4149,نورين,noreen
4150,نورينة,noreenah
4151,نورهان,norhan
4152,نرزا,noriza
4153,نورستا,norosta
4154,نشبة,noshaba
4155,نشن,nosheen
4156,نوشي,noshi
4157,نشن,noshin
4158,نوف,nouf
4159,نوم,noum
4160,نور,nour
4161,نوران,nouran
4162,نورانغز,nouranghiz
4163,نورين,noureen
4164,نورسبا,noursaba
4165,نشا,nousha
4166,نشاء,noushaa
4167,نشفرن,noushafarin
4168,نيوشن,noushin
4169,نزهان,nouzhan
4170,نزهن,nouzhin
4171,نية,noya
4172,نواعم,nuaim
4173,نيمات,nuaimaat
4174,نايمه,nuaimah
4175,نيبة,nuaybah
4176,نايمه,nuaymah
4177,نوبل,nubla
4178,نبوغ,nuboogh
4179,نظيره,nudairah
4180,ندر,nudar
4181,ندبه,nudbah
4182,نظر,nudhar
4183,ندورة,nudoora
4184,ندرة,nudra
4185,ندرة,nudrat
4186,نظرية,nudriyyah
4187,نفيسه,nufaysah
4188,نهى,nuha
4189,نحاء,nuhaa
4190,نهيه,nuhiah
4191,نجده,nujaidah
4192,نجمه,nujaimah
4193,نجد,nujud
4194,نومة,numa
4195,نمو,numou
4196,نونه,nunah
4197,نقاوة,nuqawah
4198,نقره,nuqrah
4199,نور,nur
4200,نورالهدى,nur al huda
4201,نورة,nura
4202,نوراء,nuraa
4203,نوره,nurah
4204,نورهان,nurahan
4205,نورالعين,nuralain
4206,نوراني,nurani
4207,نورت,nurat
4208,نريد,nurayda
4209,نورين,nureen
4210,نوري,nuri
4211,نورية,nuriya
4212,نوريه,nuriyah
4213,نرجعها,nurjahan
4214,نرجنا,nurjenna
4215,نرشح,nurshah
4216,نرتج,nurtaj
4217,نورين,nuryn
4218,نسيبة,nusaiba
4219,نصيبه,nusaibah
4220,نسيمه,nusaimah
4221,نصيره,nusairah
4222,نصيبه,nusaiybah
4223,نسيبة,nusayba
4224,نصيبه,nusaybah
4225,نشبة,nushaba
4226,نشر,nushur
4227,نصره,nusrah
4228,نصرة,nusrat
4229,نت,nutou
4230,نويرة,nuwaira
4231,نويره,nuwairah
4232,نويل,nuwayla
4233,نويلة,nuwaylah
4234,نويره,nuwayrah
4235,نور,nuwwar
4236,نورة,nuwwara
4237,نوره,nuwwarah
4238,نوره,nuwwarrah
4239,نظيره,nuzairah
4240,نزار,nuzar
4241,نزهة,nuzha
4242,نزهة,nuzhaa
4243,نزهة,nuzhah
4244,نزهة,nuzhat
4245,نيسا,nyasia
4246,نيلة,nyla
4247,نينيشية,nyneishia
4248,بيديه,obaidiyah
4249,احدا,ohda
4250,اهله,ohelah
4251,عجلة,ojala
4252,الدوز,oldooz
4253,القى,olka
4254,امامية,omaimiya
4255,امرا,omera
4256,امده,omideh
4257,امتى,ommata
4258,امنياتي,omniati
4259,عنيفة,onaifa
4260,عنتره,onaitarah
4261,انيسة,onaysa
4262,انشودة,onshuda
4263,انسيه,onsiyah
4264,ارى,ora
4265,اراه,orah
4266,اريبا,oraiba
4267,عربية,oraibia
4268,ارجون,orjun
4269,ارنا,orna
4270,اروي,orwiya
4271,ارزة,orzah
4272,ارذل,orzala
4273,عهود,ouhood
4274,اولى,oula
4275,اوبا,owaiba
4276,عويدات,owaidat
4277,عواقب,owaiqiba
4278,اوز,owaiza
4279,اوريا,owaria
4280,عيينة,oyaina
4281,عذرا,ozra
4282,اذا,ozza
4283,بددا,padida
4284,بضده,padidah
4285,بفند,paivand
4286,بكيزه,pakeezah
4287,بكيزة,pakiza
4288,بعلوشة,palwasha
4289,بنية,pania
4290,بنيز,paniz
4291,بنر,panra
4292,براند,parand
4293,برانديص,parandis
4294,برانج,parang
4295,برنسة,paransa
4296,برستش,parastesh
4297,برست,parastoo
4298,برست,parastu
4299,بردج,pardaj
4300,برديس,pardees
4301,بري,paree
4302,بريشهر,pareechehr
4303,بريشهرا,pareechehra
4304,بريدخة,pareedokht
4305,بريرخ,pareerokh
4306,برير,pareerou
4307,باريس,pareesa
4308,بريزن,pareesan
4309,بريسم,pareesima
4310,بريوش,pareewash
4311,برذاذ,pareezad
4312,برغندا,parghunda
4313,بري,pari
4314,برية,paria
4315,برجل,parigol
4316,برجان,parijan
4317,بريقها,parikhan
4318,بريمه,parimah
4319,بارين,parina
4320,بارنز,parinaz
4321,بريندا,parinda
4322,برينوش,parinoush
4323,باريس,parisa
4324,بارشاد,parishad
4325,بعرفش,parivash
4326,بريوش,pariwash
4327,بارزة,pariza
4328,برذاذ,parizad
4329,بيرلا,parla
4330,برم,parmeen
4331,برمس,parmees
4332,برمدا,parmida
4333,برنا,parna
4334,برنية,parnia
4335,برنين,parnian
4336,بارسا,parsa
4337,بارت,parto
4338,بارت,partou
4339,بعرفة,parva
4340,بارفان,parvana
4341,بارفانة,parvanah
4342,برفر,parvar
4343,بعرف,parveen
4344,برفيندخة,parveendokht
4345,برفعن,parvin
4346,برفعنا,parvina
4347,بروين,parween
4348,بريان,paryan
4349,بارزه,parzheen
4350,باشمينا,pashmina
4351,بطاسة,patasa
4352,بزي,pazia
4353,بجاه,pegah
4354,بنيناه,peninah
4355,بريدة,peridot
4356,برقها,perkha
4357,بيفند,peyvand
4358,بينار,pinar
4359,بيريا,piraya
4360,برزة,piruza
4361,بونة,poonah
4362,برجل,porgul
4363,بروشات,porushat
4364,بناء,pounaa
4365,بعونه,pounah
4366,بعبق,poupak
4367,بوران,pouran
4368,بوري,pouri
4369,بورندخة,purandokht
4370,بورنور,purnoor
4371,برنش,purnush
4372,بورصة,pursa
4373,بويه,puyah
4374,قابله,qaabilah
4375,قانية,qaaniah
4376,قارية,qaaria
4377,قبله,qabalah
4378,قبيلة,qabila
4379,قبيلة,qabilah
4380,قبول,qabool
4381,قدره,qaddarah
4382,قادرا,qadduraa
4383,قدره,qaddurah
4384,قديره,qadeerah
4385,قديرة,qadira
4386,قدري,qadri
4387,قدرية,qadriyyah
4388,قدومه,qadumah
4389,قاهرة,qahira
4390,قفا,qaifa
